issuedId,archetypeId,eventName,price,fromUser,toUser,date
369,BT0_Armory_Transcendent,transfer,,Big Time,Ghar,2023-10-26T14:48:30.707Z
338,BT0_Armory_Transcendent,sale,3188.0,zhixingheyi,MetaverseX,2023-10-22T07:08:02.786Z
112,BT0_Armory_Transcendent,sale,2999.99,siva,fkt666,2023-10-21T20:09:28.384Z
382,BT0_Armory_Transcendent,sale,2900.0,RinTohsaka,MetaverseX,2023-10-21T14:21:15.078Z
124,BT0_Armory_Transcendent,transfer,,Big Time,LF888,2023-10-21T06:30:41.188Z
382,BT0_Armory_Transcendent,transfer,,Big Time,RinTohsaka,2023-10-19T09:04:42.067Z
140,BT0_Armory_Transcendent,sale,2960.0,kyrieyrew,Masque,2023-10-18T14:33:39.947Z
338,BT0_Armory_Transcendent,transfer,,Big Time,zhixingheyi,2023-10-18T07:31:08.957Z
378,BT0_Armory_Transcendent,sale,3199.0,MONGFER,MetaverseX,2023-10-18T06:32:01.333Z
123,BT0_Armory_Transcendent,sale,2900.0,ddo2ddo2,MetaverseX,2023-10-18T04:47:08.073Z
100,BT0_Armory_Transcendent,transfer,,Big Time,FrankieFunghi,2023-10-18T00:10:30.143Z
353,BT0_Armory_Transcendent,transfer,,Big Time,MetaverseX,2023-10-17T08:52:05.913Z
378,BT0_Armory_Transcendent,transfer,,Big Time,MONGFER,2023-10-17T02:30:00.178Z
140,BT0_Armory_Transcendent,transfer,,Big Time,kyrieyrew,2023-10-17T01:32:33.737Z
105,BT0_Armory_Transcendent,sale,3999.0,popor,adrien,2023-10-16T19:20:22.483Z
437,BT0_Armory_Transcendent,transfer,,Big Time,twinkle666,2023-10-16T16:17:22.471Z
105,BT0_Armory_Transcendent,transfer,,Big Time,popor,2023-10-16T13:52:52.482Z
267,BT0_Armory_Transcendent,transfer,,Big Time,ZGXXF,2023-10-16T13:51:01.056Z
112,BT0_Armory_Transcendent,transfer,,Big Time,siva,2023-10-16T13:41:56.378Z
144,BT0_Armory_Transcendent,transfer,,Big Time,NomadYGGxGH,2023-10-16T13:40:34.517Z
406,BT0_Armory_Transcendent,sale,3699.0,Lucc,CryptoDemon,2023-10-16T13:03:40.010Z
123,BT0_Armory_Transcendent,transfer,,Big Time,ddo2ddo2,2023-10-15T06:39:31.013Z
309,BT0_Armory_Transcendent,sale,3999.0,guoyongchang,Daito,2023-10-15T00:30:12.583Z
406,BT0_Armory_Transcendent,transfer,,Big Time,Lucc,2023-10-12T16:31:59.251Z
450,BT0_Armory_Transcendent,transfer,,Big Time,Pete,2023-10-11T03:37:52.591Z
397,BT0_Armory_Transcendent,transfer,,Big Time,teamoranqe,2023-10-08T23:05:28.429Z
166,BT0_Armory_Transcendent,transfer,,Big Time,Nempke,2023-10-08T17:54:30.480Z
110,BT0_Armory_Transcendent,transfer,,Big Time,MetFiers,2023-10-08T16:30:05.217Z
360,BT0_Armory_Transcendent,transfer,,Big Time,MetFiers,2023-10-08T15:14:34.164Z
288,BT0_Armory_Transcendent,transfer,,Big Time,DSTRUKT,2023-10-08T05:32:01.171Z
227,BT0_Armory_Transcendent,transfer,,Big Time,EpicDayz,2023-10-07T11:34:54.274Z
188,BT0_Armory_Transcendent,transfer,,Big Time,DMTG,2023-10-07T08:07:35.333Z
60,BT0_Armory_Transcendent,transfer,,Big Time,zhouyongyou,2023-10-07T04:32:47.838Z
309,BT0_Armory_Transcendent,transfer,,Big Time,guoyongchang,2023-10-07T01:35:32.460Z
84,BT0_Armory_Transcendent,transfer,,Big Time,shuangji666,2023-10-07T01:12:13.500Z
70,BT0_Armory_Transcendent,transfer,,Big Time,cerf,2023-10-07T00:28:56.584Z
300,BT0_Armory_Transcendent,transfer,,Big Time,silverzazrak,2023-10-06T22:37:41.254Z
269,BT0_Armory_Transcendent,transfer,,Big Time,greetswithfire,2023-10-06T22:03:14.190Z
57,BT0_Armory_Transcendent,transfer,,Big Time,MGGtiger,2023-10-06T21:49:32.611Z
101,BT0_Armory_Transcendent,transfer,,Big Time,OnChain,2023-10-06T21:49:13.721Z
428,BT0_Armory_Transcendent,transfer,,Big Time,Gorlakh,2023-10-06T21:40:32.111Z
136,BT0_Armory_Transcendent,transfer,,Big Time,Thundarr,2023-10-06T21:28:02.890Z
53,BT0_Armory_Transcendent,transfer,,Big Time,Slurps,2023-10-06T21:18:33.070Z
291,BT0_Armory_Transcendent,transfer,,Big Time,Kamsen,2023-10-06T21:14:40.265Z
346,BT0_Armory_Transcendent,transfer,,Big Time,TimeWarman,2023-10-06T21:04:12.922Z
242,BT0_Armory_Transcendent,transfer,,Big Time,TimeWarman,2023-10-06T20:57:02.288Z
