issuedId,archetypeId,eventName,price,fromUser,toUser,date
357,BT0_Time_Warden_Exotic,sale,4800.0,puertorikogog,WhaleDShark,2023-10-27T03:16:18.230Z
446,BT0_Time_Warden_Exotic,transfer,,Big Time,wangfengyu,2023-10-27T01:43:13.237Z
419,BT0_Time_Warden_Exotic,sale,5300.0,dayutime,MetaverseX,2023-10-22T09:46:12.593Z
233,BT0_Time_Warden_Exotic,transfer,,Big Time,Ghar,2023-10-22T08:30:10.063Z
50,BT0_Time_Warden_Exotic,sale,5188.0,wangfengyu,fkt666,2023-10-21T20:02:20.136Z
50,BT0_Time_Warden_Exotic,transfer,,Big Time,wangfengyu,2023-10-21T13:49:21.289Z
75,BT0_Time_Warden_Exotic,sale,4299.0,qingbao,WhaleDShark,2023-10-21T08:22:24.184Z
471,BT0_Time_Warden_Exotic,sale,5000.0,zouhang32145,WhaleDShark,2023-10-21T08:22:24.184Z
478,BT0_Time_Warden_Exotic,sale,4589.0,ledao,WhaleDShark,2023-10-21T08:22:24.184Z
277,BT0_Time_Warden_Exotic,sale,4589.0,kauzie,WhaleDShark,2023-10-21T08:22:24.184Z
218,BT0_Time_Warden_Exotic,transfer,,Big Time,LF888,2023-10-21T06:37:15.764Z
277,BT0_Time_Warden_Exotic,transfer,,Big Time,kauzie,2023-10-18T08:56:07.282Z
419,BT0_Time_Warden_Exotic,transfer,,Big Time,dayutime,2023-10-18T06:06:16.758Z
178,BT0_Time_Warden_Exotic,transfer,,Big Time,EpicBL,2023-10-17T18:49:55.276Z
325,BT0_Time_Warden_Exotic,transfer,,Big Time,siva,2023-10-17T16:53:07.053Z
363,BT0_Time_Warden_Exotic,sale,4666.0,wangfengyu,GameOver,2023-10-17T16:50:21.374Z
478,BT0_Time_Warden_Exotic,sale,4500.0,RYT,ledao,2023-10-17T15:32:37.287Z
140,BT0_Time_Warden_Exotic,transfer,,Big Time,luckydog,2023-10-17T14:18:12.619Z
213,BT0_Time_Warden_Exotic,sale,3999.0,Oxlyc,Takoyaki,2023-10-17T11:20:07.049Z
191,BT0_Time_Warden_Exotic,transfer,,Big Time,luckydog,2023-10-17T10:36:03.524Z
213,BT0_Time_Warden_Exotic,transfer,,Big Time,Oxlyc,2023-10-17T07:09:30.162Z
357,BT0_Time_Warden_Exotic,transfer,,Big Time,puertorikogog,2023-10-17T05:37:40.513Z
183,BT0_Time_Warden_Exotic,transfer,,Big Time,RYT,2023-10-17T05:23:14.499Z
478,BT0_Time_Warden_Exotic,transfer,,Big Time,RYT,2023-10-17T05:09:52.544Z
363,BT0_Time_Warden_Exotic,transfer,,Big Time,wangfengyu,2023-10-17T04:13:16.841Z
145,BT0_Time_Warden_Exotic,transfer,,Big Time,kyrieyrew,2023-10-17T02:14:54.872Z
300,BT0_Time_Warden_Exotic,transfer,,Big Time,luckydog,2023-10-17T00:02:10.046Z
101,BT0_Time_Warden_Exotic,transfer,,Big Time,luckydog,2023-10-16T23:41:54.827Z
377,BT0_Time_Warden_Exotic,transfer,,Big Time,CmdZ2,2023-10-16T14:47:24.136Z
16,BT0_Time_Warden_Exotic,transfer,,Big Time,wowitsmartin,2023-10-16T13:48:47.316Z
139,BT0_Time_Warden_Exotic,transfer,,Big Time,axw456,2023-10-16T13:43:09.137Z
465,BT0_Time_Warden_Exotic,transfer,,Big Time,TORAKO,2023-10-16T13:40:00.813Z
466,BT0_Time_Warden_Exotic,transfer,,Big Time,WhaleDShark,2023-10-16T07:07:46.691Z
20,BT0_Time_Warden_Exotic,sale,5999.0,Rasoka,Aslan61,2023-10-16T05:48:34.994Z
10,BT0_Time_Warden_Exotic,sale,7200.0,dapangzi,lsn97,2023-10-14T10:15:02.100Z
20,BT0_Time_Warden_Exotic,sale,8000.0,Abyssus,Rasoka,2023-10-12T03:05:30.333Z
327,BT0_Time_Warden_Exotic,transfer,,Big Time,Razael69,2023-10-11T16:17:36.979Z
31,BT0_Time_Warden_Exotic,transfer,,Big Time,UPbit,2023-10-10T15:15:34.313Z
61,BT0_Time_Warden_Exotic,transfer,,Big Time,gav77,2023-10-10T04:00:15.098Z
49,BT0_Time_Warden_Exotic,transfer,,Big Time,genwochong,2023-10-09T15:46:28.182Z
10,BT0_Time_Warden_Exotic,transfer,,Big Time,dapangzi,2023-10-09T14:56:08.872Z
265,BT0_Time_Warden_Exotic,transfer,,Big Time,MetFiers,2023-10-08T14:58:29.552Z
165,BT0_Time_Warden_Exotic,transfer,,Big Time,DSTRUKT,2023-10-08T05:15:54.183Z
36,BT0_Time_Warden_Exotic,transfer,,Big Time,Ventsi78,2023-10-07T22:08:18.097Z
400,BT0_Time_Warden_Exotic,transfer,,Big Time,AAAAAAA,2023-10-07T07:13:18.694Z
306,BT0_Time_Warden_Exotic,transfer,,Big Time,Aslan61,2023-10-07T06:46:57.608Z
76,BT0_Time_Warden_Exotic,transfer,,Big Time,Aslan61,2023-10-07T06:46:57.608Z
78,BT0_Time_Warden_Exotic,transfer,,Big Time,MGGkingstar0012,2023-10-07T06:06:52.895Z
41,BT0_Time_Warden_Exotic,transfer,,Big Time,Ssunset,2023-10-07T05:26:36.025Z
473,BT0_Time_Warden_Exotic,transfer,,Big Time,MichaelDZ,2023-10-07T04:33:41.005Z
471,BT0_Time_Warden_Exotic,transfer,,Big Time,zouhang32145,2023-10-07T03:56:00.146Z
123,BT0_Time_Warden_Exotic,transfer,,Big Time,Berlinpanther,2023-10-07T02:58:38.237Z
285,BT0_Time_Warden_Exotic,transfer,,Big Time,CryptoDemon,2023-10-07T02:54:20.078Z
75,BT0_Time_Warden_Exotic,transfer,,Big Time,qingbao,2023-10-07T02:38:00.869Z
321,BT0_Time_Warden_Exotic,transfer,,Big Time,zedeth,2023-10-07T02:21:36.984Z
492,BT0_Time_Warden_Exotic,transfer,,Big Time,moBig,2023-10-07T01:26:42.202Z
496,BT0_Time_Warden_Exotic,transfer,,Big Time,MGGDaidai,2023-10-07T01:13:43.257Z
234,BT0_Time_Warden_Exotic,transfer,,Big Time,Daito,2023-10-06T23:44:01.624Z
340,BT0_Time_Warden_Exotic,transfer,,Big Time,okeoke,2023-10-06T22:55:44.645Z
20,BT0_Time_Warden_Exotic,transfer,,Big Time,Abyssus,2023-10-06T22:17:37.207Z
274,BT0_Time_Warden_Exotic,transfer,,Big Time,Marulo4703,2023-10-06T21:49:26.895Z
433,BT0_Time_Warden_Exotic,transfer,,Big Time,Lyraw,2023-10-06T21:29:51.406Z
326,BT0_Time_Warden_Exotic,transfer,,Big Time,JornTheRedeemer,2023-10-06T21:19:22.094Z
481,BT0_Time_Warden_Exotic,transfer,,Big Time,Berlinpanther,2023-10-06T21:18:54.113Z
197,BT0_Time_Warden_Exotic,transfer,,Big Time,TimeWarman,2023-10-06T21:08:56.653Z
